,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
5772,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Pandan Room,40.85342765680744,-74.8280009462432,Thai Restaurant
5773,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Czig Meister Brewery,40.8542028267652,-74.83139996654923,Brewery
5774,HACKETTSTOWN,40.85347000000007,-74.82877999999994,TOPO The Old Post Office,40.85220026341047,-74.82753557586025,Vietnamese Restaurant
5775,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Churrascaria Hackettstown Paladar,40.85474027107725,-74.83120941957677,Churrascaria
5776,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Manskirt Brewery,40.85384991490522,-74.82974521606849,Brewery
5777,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Greene's Beans Cafe,40.858241634290145,-74.82824569554093,Coffee Shop
5778,HACKETTSTOWN,40.85347000000007,-74.82877999999994,James on Main,40.854638,-74.831222,American Restaurant
5779,HACKETTSTOWN,40.85347000000007,-74.82877999999994,QuickChek,40.85518351795146,-74.83297422081976,Convenience Store
5780,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Sub Shack & Deli,40.8492276107893,-74.82436406266304,Deli / Bodega
5781,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Dollar general,40.854825,-74.831804,Discount Store
5782,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Marley's Gotham Grill,40.85355928430038,-74.82879881282632,American Restaurant
5783,HACKETTSTOWN,40.85347000000007,-74.82877999999994,CVS pharmacy,40.855387,-74.83291,Pharmacy
5784,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Hertz,40.85266,-74.824883,Rental Car Location
5785,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Domino's Pizza,40.85436352554878,-74.83007875214952,Pizza Place
5786,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Shop Rite Wines & Liquors,40.8546464412186,-74.83358158059613,Liquor Store
