,District,Latitude,Longitude
392,NEW HANOVER TWP,40.02413000000007,-74.61582999999996
393,LOWER TWP,39.000920000000065,-74.89205999999996
394,DELAWARE TWP,40.44614000000007,-74.94263999999998
395,ELMWOOD PARK,40.90098000000006,-74.12396999999999
396,NORTH BERGEN TWP,40.77901000000003,-74.02697999999998
397,"KIPP: COOPER NORCROSS, A NEW JERSEY NONPROFIT CORPORATION",39.799570000000074,-75.33327999999995
398,WASHINGTON TWP,39.74475000000007,-75.08470999999997
399,WEST NEW YORK TOWN,40.785930000000064,-74.00930999999997
400,MANCHESTER TWP,40.01661000000007,-74.29619999999994
401,OAKLYN BORO,39.90378000000004,-75.07830999999999
402,SOUTHERN REGIONAL,39.71090000014333,-74.2521700729971
403,HIGH BRIDGE BORO,40.66932000000003,-74.89558999999997
404,SAYREVILLE BORO,40.46699000000007,-74.36129999999997
405,BELLMAWR BORO,39.866490000000056,-75.07799999999997
406,BETHLEHEM TWP,40.66584000000006,-75.01652999999999
407,EDGEWATER PARK TWP,40.04565000000008,-74.91813999999994
408,KENILWORTH BORO,40.67632000000003,-74.28916999999996
409,KEARNY TOWN,40.43258456679116,-74.20239605149796
410,FRENCHTOWN BORO,40.52742000000006,-75.06082999999995
411,RANCOCAS VALLEY REGIONAL,40.00254000000007,-74.78208999999998
412,ROCKAWAY BORO,40.900270000000035,-74.51174999999995
413,PINE HILL BORO,39.788470000000075,-74.99357999999995
414,FRANKLIN TWP,40.49649000000005,-74.52676999999994
415,PENNSVILLE,39.65498000000008,-75.52100999999993
416,GARWOOD BORO,40.65145000000007,-74.32516999999996
417,UNION BEACH,40.43979000000007,-74.17947999999996
418,SOMERS POINT CITY,39.31734000000006,-74.60654999999997
419,WALLKILL VALLEY REGIONAL,41.24067039469619,-74.5355972403892
420,VERNON TWP,41.199100000000044,-74.48500999999999
421,WOODBRIDGE TWP,40.55552000000006,-74.27605999999997
422,MANVILLE BORO,40.54880000000003,-74.58626999999996
423,NEW BRUNSWICK CITY,40.494770000000074,-74.44383999999997
424,STAFFORD TWP,39.691310000000044,-74.25010999999995
425,LUMBERTON TWP,39.96421000000004,-74.80618999999996
426,ROSELLE BORO,40.65850000000006,-74.26321999999993
427,BRADLEY BEACH BORO,40.20457000000005,-74.01741999999996
428,FRANKFORD TWP,41.15946000000008,-74.73837999999995
429,HOPEWELL TWP,40.308940000000064,-74.81318999999996
430,NORTH BRUNSWICK TWP,40.46783000000005,-74.46062999999998
431,WOOD-RIDGE BORO,40.84420000000006,-74.08747999999997
432,SOUTH BOUND BROOK,40.55812000000003,-74.52789999999999
433,LAWRENCE TWP,40.282790000000034,-74.73168999999996
434,OXFORD TWP,40.803480000000036,-74.99122999999997
435,MULLICA TWP,39.58887000000004,-74.69787999999994
436,HALEDON BORO,40.94135000000006,-74.18521999999996
437,TOMS RIVER REGIONAL,39.953070000000025,-74.19371999999998
438,CLAYTON BORO,39.66163000000006,-75.09274999999997
439,WARREN HILLS REGIONAL,40.77374003346887,-74.98314005510885
440,NORTH WILDWOOD CITY,39.00106000000005,-74.79635999999994
441,WILDWOOD CREST BORO,38.97667000000007,-74.83131999999995
442,WINSLOW TWP,39.659800000000075,-74.86298999999997
443,DEERFIELD TWP,39.45668000000006,-75.13898999999998
